Step         TotEng         E_vdwl         E_coul         E_long         E_bond        E_angle        E_dihed        E_impro         KinEng         PotEng          Temp          Press          Volume        Density          CPU      
         0  -419.70623      89.375432      1931.495      -2667.2573      0              0              0              0              226.68062     -646.38684      598.79252     -7636.8547      1911.2405      1.0017348      0            
      2000  -401.4154       87.03405       2041.3504     -2667.8445      0              0              0              0              138.04466     -539.46006      364.6545      -2354.5298      2232.6213      0.85753736     2.4650463    
      4000  -391.21397      105.98784      2032.2899     -2667.4651      0              0              0              0              137.97341     -529.18738      364.46631      1605.0224      2000.2915      0.95713859     4.969937     
      6000  -384.78549      102.35944      2014.9197     -2667.0502      0              0              0              0              164.98563     -549.77112      435.82095     -1151.0233      2299.3575      0.83264833     7.2830894    
      8000  -441.88651      137.34474      1948.7169     -2666.9042      0              0              0              0              138.95606     -580.84257      367.06204      2455.2766      2022.0978      0.94681683     9.7123788    
     10000  -404.27732      101.69982      2011.3463     -2667.2448      0              0              0              0              149.92136     -554.19868      396.02763      437.08668      2085.1824      0.91817205     12.00146     
     12000  -405.88102      102.38276      2024.4785     -2667.4133      0              0              0              0              134.67107     -540.55209      355.74294     -1719.5669      2199.6345      0.87039741     14.452       
     14000  -416.02001      104.2239       2015.2175     -2666.9198      0              0              0              0              131.45844     -547.47845      347.25655     -2484.1889      2217.0445      0.86356238     16.817759    
     16000  -416.12896      111.76335      2005.4482     -2667.542       0              0              0              0              134.20148     -550.33044      354.50248     -1009.7566      2073.6784      0.92326574     19.219284    
     18000  -372.36112      108.32542      2017.2257     -2667.7745      0              0              0              0              169.86227     -542.22339      448.70292     -754.75512      2343.8907      0.81682827     21.663647    
     20000  -391.53299      99.036819      2028.2228     -2667.0462      0              0              0              0              148.25362     -539.78661      391.62217      1168.7485      1943.712       0.98499994     23.942197    
Loop time
